achievement_debug                        : 0        : , "cheat", "rep", "cl" : Turn on achievement debug msgs.
fog_enable_water_fog                     : 1        : , "cheat"        : 
fog_enableskybox                         : 1        : , "cheat", "cl"  : 
fog_end                                  : -1       : , "cheat", "cl"  : 
fog_endskybox                            : -1       : , "cheat", "cl"  : 
fog_hdrcolorscale                        : -1       : , "cheat", "cl"  : 
fog_hdrcolorscaleskybox                  : -1       : , "cheat", "cl"  : 
fog_maxdensity                           : -1       : , "cheat", "cl"  : 
fog_maxdensityskybox                     : -1       : , "cheat", "cl"  : 
fog_override                             : 0        : , "cheat", "cl"  : Overrides the map's fog settings (-1 populates fog_ vars with map's values)
fog_start                                : -1       : , "cheat", "cl"  : 
fog_startskybox                          : -1       : , "cheat", "cl"  : 
fogui                                    : cmd      :                  : Show/hide fog control UI.
force_centerview                         : cmd      :                  : 
force_disablex360                        : 0        : , "cheat"        : 
forcebind                                : cmd      :                  : Bind a command to an available key. (forcebind command opt:suggestedKey)
foundry_engine_get_mouse_control         : cmd      :                  : Give the engine control of the mouse.
foundry_engine_release_mouse_control     : cmd      :                  : Give the control of the mouse back to Hammer.
foundry_select_entity                    : cmd      :                  : Select the entity under the crosshair or select entities with the specified name.
foundry_sync_hammer_view                 : cmd      :                  : Move Hammer's 3D view to the same position as the engine's 3D view.
foundry_update_entity                    : cmd      :                  : Updates the entity's position/angles when in edit mode
fps_max                                  : 120      :                  : Frame rate limiter
fs_monitor_read_from_pack                : 0        :                  : 0:Off, 1:Any, 2:Sync only
fs_printopenfiles                        : cmd      :                  : Show all files currently opened by the engine.
fs_report_sync_opens                     : 0        :                  : 0:Off, 1:Always, 2:Not during load
fs_syncdvddevcache                       : cmd      :                  : Force the 360 to get updated files that are in your p4 changelist(s) from the host PC when running with -dvddev.
fs_warning_level                         : cmd      :                  : Set the filesystem warning level.
fs_warning_mode                          : 0        :                  : 0:Off, 1:Warn main thread, 2:Warn other threads
func_break_max_pieces                    : 15       : , "a", "rep", "cl" : 

g15_dumpplayer                           : cmd      :                  : Spew player data.
g15_reload                               : cmd      :                  : Reloads the Logitech G-15 Keyboard configs.
g15_update_msec                          : 250      : , "a", "cl"      : Logitech G-15 Keyboard update interval.
g_debug_constraint_sounds                : 0        : , "sv", "cheat"  : Enable debug printing about constraint sounds.
g_debug_ragdoll_removal                  : 0        : , "cheat", "rep", "cl" : 
g_debug_ragdoll_visualize                : 0        : , "cheat", "cl"  : 
g_debug_vehiclebase                      : 0        : , "sv", "cheat"  : 
g_debug_vehicleexit                      : 0        : , "sv", "cheat"  : 
g_debug_vehiclesound                     : 0        : , "sv", "cheat"  : 
gameinstructor_dump_open_lessons         : cmd      :                  : Gives a list of all currently open lessons.
gameinstructor_enable                    : 1        : , "a", "cl"      : Display in game lessons that teach new players.
gameinstructor_find_errors               : 0        : , "cheat", "cl"  : Set to 1 and the game instructor will run EVERY scripted command to uncover errors.
gameinstructor_reload_lessons            : cmd      :                  : Shuts down all open lessons and reloads them from the script file.
gameinstructor_reset_counts              : cmd      :                  : Resets all display and success counts to zero.
gameinstructor_verbose                   : 0        : , "cheat", "cl"  : Set to 1 for standard debugging or 2 (in combo with gameinstructor_verbose_lesson) to show update actions.
gameinstructor_verbose_lesson            : 0        : , "cheat", "cl"  : Display more verbose information for lessons have this name.
gamemenucommand                          : cmd      :                  : Issue game menu command.
gameui_activate                          : cmd      :                  : Shows the game UI
gameui_allowescape                       : cmd      :                  : Escape key allowed to hide game UI
gameui_allowescapetoshow                 : cmd      :                  : Escape key allowed to show game UI
gameui_hide                              : cmd      :                  : Hides the game UI
gameui_hide_dialog                       : cmd      :                  : asdf
gameui_preventescape                     : cmd      :                  : Escape key doesn't hide game UI
gameui_preventescapetoshow               : cmd      :                  : Escape key doesn't show game UI
gameui_show_dialog                       : cmd      :                  : Show an arbitrary Dialog.
getpos                                   : cmd      :                  : dump position and angles to the console
getpos_exact                             : cmd      :                  : dump origin and angles to the console
give                                     : cmd      :                  : Give item to player.  Arguments: <item_name>
givecurrentammo                          : cmd      :                  : Give a supply of ammo for current weapon.. 
gl_clear_gray                            : 0        : , "cheat", "cl"  : Clear the back buffer to gray every frame.
gl_clear_randomcolor                     : 0        : , "cheat", "cl"  : Clear the back buffer to random colors every frame. Helps spot open seams in geometry.
global_set                               : cmd      :                  : global_set <globalname> <state>: Sets the state of the given env_global (0 = OFF, 1 = ON, 2 = DEAD).
god                                      : cmd      :                  : Toggle. Player becomes invulnerable.
groundlist                               : cmd      :                  : Display ground entity list <index>

hammer_update_entity                     : cmd      :                  : Updates the entity's position/angles when in edit mode
hammer_update_safe_entities              : cmd      :                  : Updates entities in the map that can safely be updated (don't have parents or are affected by constraints). Also excludes entit
heartbeat                                : cmd      :                  : Force heartbeat of master servers
help                                     : cmd      :                  : Find help about a convar/concommand.
hideconsole                              : cmd      :                  : Hide the console.
hidehud                                  : 0        : , "cheat", "cl"  : bitmask: 1=weapon selection, 2=flashlight, 4=all, 8=health, 16=player dead, 32=needssuit, 64=misc, 128=chat, 256=crosshair, 512
hidepanel                                : cmd      :                  : Hides a viewport panel <name>
host_flush_threshold                     : 14       :                  : Memory threshold below which the host should flush caches between server instances
host_framerate                           : 0        :                  : Set to lock per-frame time elapse.
host_map                                 : 0        :                  : Current map name.
host_runofftime                          : cmd      :                  : Run off some time without rendering/updating sounds 
host_sleep                               : 0        : , "cheat"        : Force the host to sleep a certain number of milliseconds each frame.
host_timescale                           : 1        : , "cheat", "rep" : Prescale the clock by this amount.
host_writeconfig                         : cmd      :                  : Store current settings to config.cfg (or specified .cfg file).
host_writeconfig_ss                      : cmd      :                  : Store current settings to config.cfg (or specified .cfg file) with first param as splitscreen index.
host_xbox_e3_restart                     : 15       :                  : E3 Demo Restart interval (in minutes).
hostfile                                 : 0        : , "sv"           : The HOST file to load.
hostip                                   : -1062731392.000 :                  : Host game server ip
hostname                                 : 0        :                  : Hostname for server.
hostport                                 : 27015    :                  : Host game server port
hud_classautokill                        : 1        : , "a", "cl"      : Automatically kill player after choosing a new playerclass.
hud_draw_fixed_reticle                   : 0        : , "a", "cl"      : 
hud_reloadscheme                         : cmd      :                  : Reloads hud layout and animation scripts.
hud_takesshots                           : 0        : , "a", "cl"      : Auto-save a scoreboard screenshot at the end of a map.
hunk_print_allocations                   : cmd      :                  : 
hunk_track_allocation_types              : 0        : , "cheat"        : 
hurtme                                   : cmd      :                  : Hurts the player.  Arguments: <health to lose>

impulse                                  : cmd      :                  : 
in_forceuser                             : 0        : , "cheat"        : Force user input to this split screen player.
incrementvar                             : cmd      :                  : Increment specified convar value.
invnext                                  : cmd      :                  : 
invprev                                  : cmd      :                  : 
ip                                       : 0        :                  : Overrides IP for multihomed hosts
ipc_console_disable                      : cmd      :                  : Disable IPC console(s)
ipc_console_disable_all                  : cmd      :                  : Disable all IPC consoles
ipc_console_enable                       : cmd      :                  : Enable IPC console
ipc_console_show                         : cmd      :                  : Show status of IPC consoles
isometric_default_height                 : 350      : , "cheat", "rep", "cl" : 
isometric_default_pitch                  : 50       : , "cheat", "rep", "cl" : 
isometric_height_scroll_rate             : 240      : , "cheat", "rep", "cl" : 
isometric_max_height                     : 620      : , "cheat", "rep", "cl" : 
isometric_max_pitch                      : 70       : , "cheat", "rep", "cl" : 
isometric_max_speed                      : 300      : , "cheat", "rep", "cl" : 
isometric_min_height                     : 240      : , "cheat", "rep", "cl" : 
isometric_min_pitch                      : 40       : , "cheat", "rep", "cl" : 
isometric_mouse_accel                    : 8        : , "cheat", "rep", "cl" : 
isometric_mouse_friction                 : 4        : , "cheat", "rep", "cl" : 
isometric_mouse_sensitivity              : 6        : , "cheat", "rep", "cl" : 
isometric_move_accel                     : 3        : , "cheat", "rep", "cl" : 
isometric_move_friction                  : 4        : , "cheat", "rep", "cl" : 
isometric_move_scale                     : 4        : , "cheat", "rep", "cl" : 
isometric_yaw_scale                      : 1        : , "cheat", "rep", "cl" : 

joy_accelmax                             : 1        : , "a", "cl"      : 
joy_accelscale                           : 0        : , "a", "cl"      : 
joy_advanced                             : 0        : , "a", "cl"      : 
joy_advaxisr                             : 0        : , "a", "cl"      : 
joy_advaxisu                             : 0        : , "a", "cl"      : 
joy_advaxisv                             : 0        : , "a", "cl"      : 
joy_advaxisx                             : 0        : , "a", "cl"      : 
joy_advaxisy                             : 0        : , "a", "cl"      : 
joy_advaxisz                             : 0        : , "a", "cl"      : 
joy_autoaimdampen                        : 0        : , "a", "user", "cl" : How much to scale user stick input when the gun is pointing at a valid target.
joy_autoaimdampenrange                   : 0        : , "a", "cl"      : The stick range where autoaim dampening is applied. 0 = off
joy_axisbutton_threshold                 : 0        : , "a"            : Analog axis range before a button press is registered.
joy_circle_correct                       : 1        : , "a", "cl"      : 
joy_diagonalpov                          : 0        : , "a", "cl"      : POV manipulator operates on diagonal axes, too.
joy_display_input                        : 0        : , "a", "cl"      : 
joy_forwardsensitivity                   : -1       : , "a", "cl"      : 
joy_forwardthreshold                     : 0        : , "a", "cl"      : 
joy_inverty                              : 0        : , "a", "cl", "ss" : Whether to invert the Y axis of the joystick for looking.
joy_legacy                               : 0        : , "a", "cl", "ss" : Turn on/off 'Legacy' mapping for control sticks.
joy_lowend                               : 1        : , "a", "cl"      : 
joy_lowmap                               : 1        : , "a", "cl"      : 
joy_movement_stick                       : 0        : , "a", "cl", "ss" : Which stick controls movement (0 is left stick)
joy_name                                 : 0        : , "a", "cl"      : 
joy_pitchsensitivity                     : 1        : , "a", "cl", "ss" : 
joy_pitchthreshold                       : 0        : , "a", "cl"      : 
joy_response_look                        : 0        : , "a", "cl"      : 'Look' stick response mode: 0=Default, 1=Acceleration Promotion
joy_response_move                        : 1        : , "a", "cl"      : 'Movement' stick response mode: 0=Linear, 1=quadratic, 2=cubic, 3=quadratic extreme, 4=power function(i.e., pow(x,1/sensitivity
joy_sensitive_step0                      : 0        : , "a", "cl"      : 
joy_sensitive_step1                      : 0        : , "a", "cl"      : 
joy_sensitive_step2                      : 0        : , "a", "cl"      : 
joy_sidesensitivity                      : 1        : , "a", "cl"      : 
joy_sidethreshold                        : 0        : , "a", "cl"      : 
joy_wingmanwarrior_centerhack            : 0        : , "a"            : Wingman warrior centering hack.
joy_wingmanwarrior_turnhack              : 0        : , "a", "cl"      : Wingman warrior hack related to turn axes.
joy_xcontroller_found                    : 0        :                  : Automatically set to 1 if an xcontroller has been detected.
joy_yawsensitivity                       : -1       : , "a", "cl", "ss" : 
joy_yawthreshold                         : 0        : , "a", "cl"      : 
joyadvancedupdate                        : cmd      :                  : 
joystick                                 : 0        : , "a", "cl"      : 
jpeg                                     : cmd      :                  : Take a jpeg screenshot:  jpeg <filename> <quality 1-100>.

kdtree_test                              : cmd      :                  : Tests spatial partition for entities queries.
key_findbinding                          : cmd      :                  : Find key bound to specified command string.
key_listboundkeys                        : cmd      :                  : List bound keys with bindings.
key_updatelayout                         : cmd      :                  : Updates game keyboard layout to current windows keyboard setting.
kick                                     : cmd      :                  : Kick a player by name.
kickid                                   : cmd      :                  : Kick a player by userid or uniqueid, with a message.
kill                                     : cmd      :                  : Kills the player with generic damage
killserver                               : cmd      :                  : Shutdown the server.
killvector                               : cmd      :                  : Kills a player applying force. Usage: killvector <player> <x value> <y value> <z value>

lastinv                                  : cmd      :                  : 
light_crosshair                          : cmd      :                  : Show texture color at crosshair
lightcache_maxmiss                       : 2        : , "cheat"        : 
lightprobe                               : cmd      :                  : Samples the lighting environment. Creates a cubemap and a file indicating the local lighting in a subdirectory called 'material
linefile                                 : cmd      :                  : Parses map leak data from .lin file
listdemo                                 : cmd      :                  : List demo file contents.
listid                                   : cmd      :                  : Lists banned users.
listip                                   : cmd      :                  : List IP addresses on the ban list.
listmodels                               : cmd      :                  : List loaded models.
load                                     : cmd      :                  : Load a saved game.
loadcommentary                           : cmd      :                  : 
loader_defer_non_critical_jobs           : 0        :                  : 
loader_dump_table                        : cmd      :                  : 
loader_spew_info                         : 0        :                  : 0:Off, 1:Timing, 2:Completions, 3:Late Completions, 4:Creations/Purges, -1:All
loader_throttle_io                       : 1        :                  : 
locator_split_len                        : 0        : , "cheat", "cl"  : 
locator_split_maxwide_percent            : 0        : , "cheat", "cl"  : 
log                                      : cmd      :                  : Enables logging to file, console, and udp < on | off >.
log_dumpchannels                         : cmd      :                  : Dumps information about all logging channels.
log_level                                : cmd      :                  : Set the spew level of a logging channel.
logaddress_add                           : cmd      :                  : Set address and port for remote host <ip:port>.
logaddress_del                           : cmd      :                  : Remove address and port for remote host <ip:port>.
logaddress_delall                        : cmd      :                  : Remove all udp addresses being logged to
logaddress_list                          : cmd      :                  : List all addresses currently being used by logaddress.
lookspring                               : 0        : , "a", "cl"      : 
lookstrafe                               : 0        : , "a", "cl"      : 
lower_body_debug                         : 0        : , "cheat", "cl"  : 

m_customaccel                            : 0        : , "a", "cl"      : Custom mouse acceleration (0 disable, 1 to enable, 2 enable with separate yaw/pitch rescale). Formula: mousesensitivity = ( raw
m_customaccel_exponent                   : 1        : , "a", "cl"      : Mouse move is raised to this power before being scaled by scale factor.
m_customaccel_max                        : 0        : , "a", "cl"      : Max mouse move scale factor, 0 for no limit
m_customaccel_scale                      : 0        : , "a", "cl"      : Custom mouse acceleration value.
m_filter                                 : 0        : , "a", "cl", "ss" : Mouse filtering (set this to 1 to average the mouse over 2 frames).
m_forward                                : 1        : , "a", "cl"      : Mouse forward factor.
m_mouseaccel1                            : 0        : , "a", "cl"      : Windows mouse acceleration initial threshold (2x movement).
m_mouseaccel2                            : 0        : , "a", "cl"      : Windows mouse acceleration secondary threshold (4x movement).
m_mousespeed                             : 1        : , "a", "cl"      : Windows mouse speed factor (range 1 to 20).
m_pitch                                  : 0        : , "a", "cl", "ss" : Mouse pitch factor.
m_rawinput                               : 0        : , "a", "cl"      : Use Raw Input for mouse input.
m_side                                   : 0        : , "a", "cl"      : Mouse side factor.
m_yaw                                    : 0        : , "a", "cl"      : Mouse yaw factor.
map                                      : cmd      :                  : Start playing on specified map.
map_background                           : cmd      :                  : Runs a map as the background to the main menu.
map_commentary                           : cmd      :                  : Start playing, with commentary, on a specified map.
map_edit                                 : cmd      :                  : 
map_showspawnpoints                      : cmd      :                  : Dev - test the spawn points, draws for 60 seconds
maps                                     : cmd      :                  : Displays list of maps.
mat_accelerate_adjust_exposure_down      : 3        : , "cheat", "cl"  : 
mat_bloom_scalefactor_scalar             : 1        : , "cl"           : 
mat_bloomamount_rate                     : 0        : , "cheat", "cl"  : 
mat_bumpbasis                            : 0        : , "cheat"        : 
mat_camerarendertargetoverlaysize        : 128      : , "cheat", "cl"  : 
mat_colcorrection_forceentitiesclientside : 0        : , "cheat", "cl"  : Forces color correction entities to be updated on the client
mat_configcurrent                        : cmd      :                  : show the current video control panel config for the material system
mat_crosshair                            : cmd      :                  : Display the name of the material under the crosshair
mat_crosshair_edit                       : cmd      :                  : open the material under the crosshair in the editor defined by mat_crosshair_edit_editor
mat_crosshair_explorer                   : cmd      :                  : open the material under the crosshair in explorer and highlight the vmt file
mat_crosshair_printmaterial              : cmd      :                  : print the material under the crosshair
mat_crosshair_reloadmaterial             : cmd      :                  : reload the material under the crosshair
mat_debug                                : cmd      :                  : Activates debugging spew for a specific material.
mat_debug_bloom                          : 0        : , "cheat", "cl"  : 
mat_debugalttab                          : 0        : , "cheat"        : 
mat_debugdepthmode                       : 0        :                  : 
mat_debugdepthval                        : 128      :                  : 
mat_debugdepthvalmax                     : 256      :                  : 
mat_drawflat                             : 0        : , "cheat"        : 
mat_drawwater                            : 1        : , "cheat", "cl"  : 
mat_dynamic_tonemapping                  : 1        : , "cheat"        : 
mat_dynamiclightmaps                     : 0        : , "cheat"        : 
mat_edit                                 : cmd      :                  : Bring up the material under the crosshair in the editor
mat_exposure_center_region_x             : 0        : , "cheat", "cl"  : 
mat_exposure_center_region_y             : 0        : , "cheat", "cl"  : 
mat_fastclip                             : 0        : , "cheat"        : 
mat_fastnobump                           : 0        : , "cheat"        : 
mat_fillrate                             : 0        : , "cheat"        : 
mat_force_bloom                          : 0        : , "cheat", "cl"  : 
mat_force_tonemap_min_avglum             : -1       : , "cheat", "cl"  : Override. Old default was 3.0
mat_force_tonemap_percent_bright_pixels  : -1       : , "cheat", "cl"  : Override. Old value was 1.0
mat_force_tonemap_percent_target         : -1       : , "cheat", "cl"  : Override. Old default was 45.
mat_force_tonemap_scale                  : 0        : , "cheat"        : 
mat_forcedynamic                         : 0        : , "cheat"        : 
mat_frame_sync_enable                    : 1        : , "cheat"        : 
mat_frame_sync_force_texture             : 0        : , "cheat"        : Force frame syncing to lock a managed texture.
mat_fullbright                           : 0        : , "cheat"        : 
mat_grain_scale_override                 : 1        : , "a"            : 
mat_hdr_enabled                          : cmd      :                  : Report if HDR is enabled for debugging
mat_hdr_tonemapscale                     : 1        : , "sv", "cheat"  : The HDR tonemap scale. 1 = Use autoexposure, 0 = eyes fully closed, 16 = eyes wide open.
mat_hdr_uncapexposure                    : 0        : , "cheat", "cl"  : 
mat_hsv                                  : 0        : , "cheat", "cl"  : 
mat_info                                 : cmd      :                  : Shows material system info
mat_leafvis                              : 0        : , "cheat"        : Draw wireframe of current leaf
mat_loadtextures                         : 1        : , "cheat"        : 
mat_lpreview_mode                        : -1       : , "cheat", "cl"  : 
mat_luxels                               : 0        : , "cheat"        : 
mat_measurefillrate                      : 0        : , "cheat"        : 
mat_monitorgamma                         : 2        : , "a"            : monitor gamma (typically 2.2 for CRT and 1.7 for LCD)
mat_monitorgamma_tv_enabled              : 0        : , "a"            : 
mat_morphstats                           : 0        : , "cheat"        : 
mat_norendering                          : 0        : , "cheat"        : 
mat_normalmaps                           : 0        : , "cheat"        : 
mat_normals                              : 0        : , "cheat"        : 
mat_postprocess_enable                   : 1        : , "cheat", "cl"  : 
mat_proxy                                : 0        : , "cheat"        : 
mat_queue_priority                       : 1        :                  : 
mat_reloadallmaterials                   : cmd      :                  : Reloads all materials
mat_reloadmaterial                       : cmd      :                  : Reloads a single material
mat_reloadtextures                       : cmd      :                  : Reloads all textures
mat_remoteshadercompile                  : 0        : , "cheat"        : 
mat_reporthwmorphmemory                  : cmd      :                  : Reports the amount of size in bytes taken up by hardware morph textures.
mat_reversedepth                         : 0        : , "cheat"        : 
mat_savechanges                          : cmd      :                  : saves current video configuration to the registry
mat_setvideomode                         : cmd      :                  : sets the width, height, windowed state of the material system
mat_shadercount                          : cmd      :                  : display count of all shaders and reset that count
mat_show_texture_memory_usage            : 0        : , "cheat", "numeric" : Display the texture memory usage on the HUD.
mat_showcamerarendertarget               : 0        : , "cheat", "cl"  : 
mat_showframebuffertexture               : 0        : , "cheat", "cl"  : 
mat_showlowresimage                      : 0        : , "cheat"        : 
mat_showmaterials                        : cmd      :                  : Show materials.
mat_showmaterialsverbose                 : cmd      :                  : Show materials (verbose version).
mat_showmiplevels                        : 0        : , "cheat"        : color-code miplevels 2: normalmaps, 1: everything else
mat_showtextures                         : cmd      :                  : Show used textures.
mat_showwatertextures                    : 0        : , "cheat", "cl"  : 
mat_softwareskin                         : 0        : , "cheat"        : 
mat_spewalloc                            : 0        : , "a"            : 
mat_spewvertexandpixelshaders            : cmd      :                  : Print all vertex and pixel shaders currently loaded to the console
mat_stub                                 : 0        : , "cheat", "cl"  : 
mat_suppress                             : cmd      :                  : Supress a material from drawing
mat_surfaceid                            : 0        : , "cheat"        : 
mat_surfacemat                           : 0        : , "cheat"        : 
mat_tessellation_accgeometrytangents     : 0        : , "cheat"        : 
mat_tessellation_cornertangents          : 1        : , "cheat"        : 
mat_tessellation_update_buffers          : 1        : , "cheat"        : 
mat_tessellationlevel                    : 4        : , "cheat"        : 
mat_tessellationmode                     : 1        : , "cheat"        : 
mat_texture_list_content_path            : 0        : , "a"            : The content path to the materialsrc directory. If left unset, it'll assume your content directory is next to the currently runn
mat_texture_list_exclude                 : cmd      :                  : 'load' - loads the exclude list file, 'reset' - resets all loaded exclude information, 'save' - saves exclude list file
mat_texture_list_txlod                   : cmd      :                  : Adjust LOD of the last viewed texture +1 to inc resolution, -1 to dec resolution
mat_texture_list_txlod_sync              : cmd      :                  : 'reset' - resets all run-time changes to LOD overrides, 'save' - saves all changes to material content files
mat_tonemap_algorithm                    : 1        : , "cheat", "cl"  : 0 = Original Algorithm 1 = New Algorithm
mat_viewportscale                        : 1        : , "cheat", "cl"  : Scale down the main viewport (to reduce GPU impact on CPU profiling)
mat_wireframe                            : 0        : , "cheat"        : 
mat_yuv                                  : 0        : , "cheat", "cl"  : 
maxplayers                               : cmd      :                  : Change the maximum number of players allowed on this server.
mem_compact                              : cmd      :                  : 
mem_dump                                 : cmd      :                  : Dump memory stats to text file.
mem_dumpvballocs                         : cmd      :                  : Dump VB memory allocation stats.
mem_eat                                  : cmd      :                  : 
mem_incremental_compact                  : cmd      :                  : 
mem_incremental_compact_rate             : 0        : , "cheat"        : Rate at which to attempt internal heap compation
mem_test                                 : cmd      :                  : 
mem_vcollide                             : cmd      :                  : Dumps the memory used by vcollides
memory                                   : cmd      :                  : Print memory stats.
memory_diff                              : cmd      :                  : show memory stats relative to snapshot
memory_list                              : cmd      :                  : dump memory list (linux only)
memory_mark                              : cmd      :                  : snapshot current allocation status
memory_status                            : cmd      :                  : show memory stats (linux only)
minimap                                  : cmd      :                  : toggle minimap mode
minisave                                 : cmd      :                  : Saves game (for current level only!)
motd_intros                              : 0        : , "a", "cl"      : 
motdfile                                 : 0        : , "sv"           : The MOTD file to load.
movie_fixwave                            : cmd      :                  : Fixup corrupted .wav file if engine crashed during startmovie/endmovie, etc.
mp_allowspectators                       : 1        : , "rep", "cl"    : toggles whether the server allows spectator mode or not
mp_autoteambalance                       : 1        : , "sv", "nf"     : Auto team balance. 0 = Disabled, 1 = End of round, 2 = Mid round when a team has [mp_unbalance_limit] less players than the oth
mp_autoteambalance_delay                 : 300      : , "sv"           : Seconds after the start of a round before a team balance is considered if mp_autoteambalance is set to 2 or 3.
mp_disable_autokick                      : cmd      :                  : Prevents a userid from being auto-kicked
mp_friendlyfire                          : 0        : , "nf", "rep", "cl" : Allows team members to injure other members of their team
mp_limitteams                            : 2        : , "rep", "cl"    : Max # of players 1 team can have over another (0 disables check)
mp_minplayers                            : 4        : , "rep", "cl"    : Minimum number of players before the round starts
mp_roundtime                             : -1       : , "rep", "cl"    : How long (in minutes) should a round last.
mp_simulatemultiplecappers               : 1        : , "sv", "cheat"  : 
mp_spawnprotection                       : 2        : , "sv"           : Amount of time after a player spawns until they can take damage
mp_timelimit                             : 0        : , "nf", "rep", "cl" : game time per map in minutes
multvar                                  : cmd      :                  : Multiply specified convar value.
muzzleflash_light                        : 1        : , "a", "cl"      : 

name                                     : 0        : , "a", "user", "print", "server_can_execute", "ss" : Current user name
nav_add_to_selected_set                  : cmd      :                  : Add current area to the selected set.
nav_add_to_selected_set_by_id            : cmd      :                  : Add specified area id to the selected set.
nav_analyze                              : cmd      :                  : Re-analyze the current Navigation Mesh and save it to disk.
nav_area_bgcolor                         : 0        : , "sv", "cheat"  : RGBA color to draw as the background color for nav areas while editing.
nav_area_max_size                        : 50       : , "sv", "cheat"  : Max area size created in nav generation
nav_avoid                                : cmd      :                  : Toggles the 'avoid this area when possible' flag used by the AI system.
nav_begin_area                           : cmd      :                  : Defines a corner of a new Area or Ladder. To complete the Area or Ladder, drag the opposite corner to the desired location and 
nav_begin_deselecting                    : cmd      :                  : Start continuously removing from the selected set.
nav_begin_drag_deselecting               : cmd      :                  : Start dragging a selection area.
nav_begin_drag_selecting                 : cmd      :                  : Start dragging a selection area.
nav_begin_selecting                      : cmd      :                  : Start continuously adding to the selected set.
nav_begin_shift_xy                       : cmd      :                  : Begin shifting the Selected Set.
nav_build_ladder                         : cmd      :                  : Attempts to build a nav ladder on the climbable surface under the cursor.
nav_check_floor                          : cmd      :                  : Updates the blocked/unblocked status for every nav area.
nav_check_stairs                         : cmd      :                  : Update the nav mesh STAIRS attribute
nav_chop_selected                        : cmd      :                  : Chops all selected areas into their component 1x1 areas
nav_clear_attribute                      : cmd      :                  : Remove given nav attribute from all areas in the selected set.
nav_clear_selected_set                   : cmd      :                  : Clear the selected set.
nav_clear_walkable_marks                 : cmd      :                  : Erase any previously placed walkable positions.
nav_compress_id                          : cmd      :                  : Re-orders area and ladder ID's so they are continuous.
nav_connect                              : cmd      :                  : To connect two Areas, mark the first Area, highlight the second Area, then invoke the connect command. Note that this creates a
nav_coplanar_slope_limit                 : 0        : , "sv", "cheat"  : 
nav_coplanar_slope_limit_displacement    : 0        : , "sv", "cheat"  : 
nav_corner_adjust_adjacent               : 18       : , "sv", "cheat"  : radius used to raise/lower corners in nearby areas when raising/lowering corners.
nav_corner_lower                         : cmd      :                  : Lower the selected corner of the currently marked Area.
nav_corner_place_on_ground               : cmd      :                  : Places the selected corner of the currently marked Area on the ground.
nav_corner_raise                         : cmd      :                  : Raise the selected corner of the currently marked Area.
nav_corner_select                        : cmd      :                  : Select a corner of the currently marked Area. Use multiple times to access all four corners.
nav_create_area_at_feet                  : 0        : , "sv", "cheat"  : Anchor nav_begin_area Z to editing player's feet
nav_create_place_on_ground               : 0        : , "sv", "cheat"  : If true, nav areas will be placed flush with the ground when created by hand.
nav_crouch                               : cmd      :                  : Toggles the 'must crouch in this area' flag used by the AI system.
nav_debug_blocked                        : 0        : , "sv", "cheat"  : 
nav_delete                               : cmd      :                  : Deletes the currently highlighted Area.
nav_delete_marked                        : cmd      :                  : Deletes the currently marked Area (if any).
nav_disconnect                           : cmd      :                  : To disconnect two Areas, mark an Area, highlight a second Area, then invoke the disconnect command. This will remove all connec
nav_displacement_test                    : 10000    : , "sv", "cheat"  : Checks for nodes embedded in displacements (useful for in-development maps)
nav_dont_hide                            : cmd      :                  : Toggles the 'area is not suitable for hiding spots' flag used by the AI system.
nav_draw_limit                           : 500      : , "sv", "cheat"  : The maximum number of areas to draw in edit mode
nav_edit                                 : 0        : , "sv", "cheat"  : Set to one to interactively edit the Navigation Mesh. Set to zero to leave edit mode.
nav_end_area                             : cmd      :                  : Defines the second corner of a new Area or Ladder and creates it.
nav_end_deselecting                      : cmd      :                  : Stop continuously removing from the selected set.
nav_end_drag_deselecting                 : cmd      :                  : Stop dragging a selection area.
nav_end_drag_selecting                   : cmd      :                  : Stop dragging a selection area.
nav_end_selecting                        : cmd      :                  : Stop continuously adding to the selected set.
nav_end_shift_xy                         : cmd      :                  : Finish shifting the Selected Set.
nav_flood_select                         : cmd      :                  : Selects the current Area and all Areas connected to it, recursively. To clear a selection, use this command again.
nav_gen_cliffs_approx                    : cmd      :                  : Mark cliff areas, post-processing approximation
nav_generate                             : cmd      :                  : Generate a Navigation Mesh for the current map and save it to disk.
nav_generate_fencetops                   : 0        : , "sv", "cheat"  : Autogenerate nav areas on fence and obstacle tops
nav_generate_fixup_jump_areas            : 1        : , "sv", "cheat"  : Convert obsolete jump areas into 2-way connections
nav_generate_incremental                 : cmd      :                  : Generate a Navigation Mesh for the current map and save it to disk.
nav_generate_incremental_range           : 2000     : , "sv", "cheat"  : 
nav_generate_incremental_tolerance       : 0        : , "sv", "cheat"  : Z tolerance for adding new nav areas.
nav_jump                                 : cmd      :                  : Toggles the 'traverse this area by jumping' flag used by the AI system.
nav_ladder_flip                          : cmd      :                  : Flips the selected ladder's direction.
nav_list_meshes                          : cmd      :                  : List navigation meshes
nav_load                                 : cmd      :                  : Loads the Navigation Mesh for the current map.
nav_lower_drag_volume_max                : cmd      :                  : Lower the top of the drag select volume.
nav_lower_drag_volume_min                : cmd      :                  : Lower the bottom of the drag select volume.
nav_make_sniper_spots                    : cmd      :                  : Chops the marked area into disconnected sub-areas suitable for sniper spots.
nav_mark                                 : cmd      :                  : Marks the Area or Ladder under the cursor for manipulation by subsequent editing commands.
